name,Total Personal Consumption Expenditures,Housing and utilities,Health care,Off-premises food and beverages,Gasoline and other energy goods,All other Personal Consumption Expenditures
United States,44276.00 ,8168.00 ,7467.00 ,3125.00 ,1022.00 ,24495.00 
New England,53985.00 ,10293.00 ,8848.00 ,3746.00 ,1119.00 ,29980.00 
Connecticut,54786.00 ,11140.00 ,8218.00 ,3399.00 ,1062.00 ,30967.00 
Maine,47351.00 ,7444.00 ,8216.00 ,4299.00 ,1889.00 ,25503.00 
Massachusetts,56231.00 ,10710.00 ,9324.00 ,3761.00 ,885.00 ,31551.00 
New Hampshire,54585.00 ,10180.00 ,9380.00 ,4091.00 ,1531.00 ,29403.00 
Rhode Island,47045.00 ,9248.00 ,7889.00 ,3393.00 ,1043.00 ,25472.00 
Vermont,49377.00 ,9018.00 ,9012.00 ,4206.00 ,1603.00 ,25538.00 
Mideast,51630.00 ,9598.00 ,8596.00 ,3185.00 ,870.00 ,29381.00 
Delaware,45827.00 ,8335.00 ,9071.00 ,3468.00 ,1170.00 ,23783.00 
District of Columbia,65352.00 ,11936.00 ,10487.00 ,4058.00 ,696.00 ,38176.00 
Maryland,47529.00 ,11051.00 ,7717.00 ,2866.00 ,908.00 ,24986.00 
New Jersey,54216.00 ,11215.00 ,8229.00 ,3442.00 ,867.00 ,30463.00 
New York,54890.00 ,9657.00 ,9165.00 ,3206.00 ,701.00 ,32161.00 
Pennsylvania,46502.00 ,7667.00 ,8262.00 ,3054.00 ,1099.00 ,26420.00 
Great Lakes,43006.00 ,7239.00 ,7716.00 ,3056.00 ,1068.00 ,23927.00 
Illinois,46198.00 ,8350.00 ,7378.00 ,2942.00 ,879.00 ,26648.00 
Indiana,39145.00 ,6325.00 ,8156.00 ,2985.00 ,1255.00 ,20424.00 
Michigan,41816.00 ,7154.00 ,7203.00 ,3118.00 ,1074.00 ,23266.00 
Ohio,42707.00 ,6617.00 ,8033.00 ,3215.00 ,1042.00 ,23800.00 
Wisconsin,43168.00 ,7273.00 ,8187.00 ,2959.00 ,1307.00 ,23441.00 
Plains,42696.00 ,7216.00 ,7805.00 ,2872.00 ,1322.00 ,23482.00 
Iowa,39324.00 ,6517.00 ,6702.00 ,2866.00 ,1478.00 ,21761.00 
Kansas,38898.00 ,6831.00 ,7042.00 ,3148.00 ,1024.00 ,20853.00 
Minnesota,47159.00 ,8524.00 ,8618.00 ,2886.00 ,1150.00 ,25981.00 
Missouri,41279.00 ,6792.00 ,7606.00 ,2722.00 ,1375.00 ,22783.00 
Nebraska,41789.00 ,6759.00 ,7518.00 ,2908.00 ,1447.00 ,23157.00 
North Dakota,47902.00 ,7233.00 ,8954.00 ,2983.00 ,1986.00 ,26746.00 
South Dakota,46117.00 ,6550.00 ,10083.00 ,2756.00 ,1636.00 ,25092.00 
Southeast,39283.00 ,7087.00 ,6753.00 ,3081.00 ,1012.00 ,21349.00 
Alabama,35490.00 ,5828.00 ,6296.00 ,2815.00 ,1055.00 ,19496.00 
Arkansas,35026.00 ,5577.00 ,6552.00 ,2553.00 ,1234.00 ,19112.00 
Florida,43018.00 ,8065.00 ,7107.00 ,3361.00 ,798.00 ,23687.00 
Georgia,38076.00 ,6843.00 ,6215.00 ,3128.00 ,1038.00 ,20852.00 
Kentucky,36348.00 ,5911.00 ,6991.00 ,3253.00 ,1145.00 ,19048.00 
Louisiana,37250.00 ,6370.00 ,6928.00 ,2942.00 ,1139.00 ,19870.00 
Mississippi,32329.00 ,5590.00 ,6465.00 ,2750.00 ,1072.00 ,16452.00 
North Carolina,37099.00 ,6486.00 ,6815.00 ,2982.00 ,1013.00 ,19802.00 
South Carolina,36073.00 ,6175.00 ,5890.00 ,3068.00 ,1245.00 ,19695.00 
Tennessee,37582.00 ,6665.00 ,6584.00 ,2755.00 ,1079.00 ,20499.00 
Virginia,46539.00 ,9654.00 ,6837.00 ,3191.00 ,1042.00 ,25815.00 
West Virginia,37276.00 ,5572.00 ,9071.00 ,2902.00 ,1121.00 ,18609.00 
Southwest,39491.00 ,6831.00 ,6342.00 ,2858.00 ,1096.00 ,22364.00 
Arizona,38044.00 ,7228.00 ,6303.00 ,2846.00 ,962.00 ,20705.00 
New Mexico,37158.00 ,6590.00 ,6825.00 ,2970.00 ,1223.00 ,19549.00 
Oklahoma,35618.00 ,5837.00 ,6622.00 ,2340.00 ,1302.00 ,19518.00 
Texas,40552.00 ,6885.00 ,6279.00 ,2923.00 ,1092.00 ,23373.00 
Rocky Mountain,42804.00 ,8085.00 ,6577.00 ,3251.00 ,1132.00 ,23760.00 
Colorado,46362.00 ,9386.00 ,6920.00 ,3572.00 ,991.00 ,25493.00 
Idaho,37183.00 ,6607.00 ,6777.00 ,2903.00 ,1220.00 ,19676.00 
Montana,42400.00 ,7000.00 ,7931.00 ,3506.00 ,1243.00 ,22719.00 
Utah,39514.00 ,6969.00 ,5259.00 ,2762.00 ,1078.00 ,23446.00 
Wyoming,43723.00 ,7877.00 ,7336.00 ,3367.00 ,2352.00 ,22791.00 
Far West,48426.00 ,10150.00 ,7901.00 ,3300.00 ,910.00 ,26165.00 
Alaska,50701.00 ,9098.00 ,11337.00 ,3825.00 ,882.00 ,25560.00 
California,49291.00 ,10601.00 ,8005.00 ,3224.00 ,922.00 ,26539.00 
Hawaii,49435.00 ,10726.00 ,7390.00 ,4141.00 ,631.00 ,26546.00 
Nevada,43166.00 ,7713.00 ,5844.00 ,3267.00 ,945.00 ,25397.00 
Oregon,43707.00 ,8708.00 ,7596.00 ,3538.00 ,963.00 ,22901.00 
Washington,48274.00 ,9585.00 ,8129.00 ,3370.00 ,860.00 ,26328.00 
